rank,stock_code,stock_name,market,url,value1,value2,value3
1,1320,iFreeETF 日経225(年1回決算型),,https://finance.yahoo.co.jp/quote/1320.T,"47,35010/03","47,1502025/09/19","47,350"
2,1321,(NEXT FUNDS)日経225連動型上場投信,,https://finance.yahoo.co.jp/quote/1321.T,"47,50010/03","47,3002025/09/19","47,500"
3,1329,iシェアーズ・コア 日経225ETF,,https://finance.yahoo.co.jp/quote/1329.T,"4,76210/03","4,7392025/09/19","4,762"
4,2251,上場インデックスファンド225,,https://finance.yahoo.co.jp/quote/1330.T,"47,52010/03","47,3302025/09/19","47,540"
5,1346,MAXIS 日経225上場投信,,https://finance.yahoo.co.jp/quote/1346.T,"47,51010/03","47,3602025/09/19","47,540"
6,1358,上場インデックス日経レバレッジ指数,,https://finance.yahoo.co.jp/quote/1358.T,"68,39010/03","67,8802025/09/19","68,450"
7,1365,iFreeETF 日経平均レバレッジ・インデックス,,https://finance.yahoo.co.jp/quote/1365.T,"55,77010/03","55,3102025/09/19","55,770"
8,2251,One ETF 日経225,,https://finance.yahoo.co.jp/quote/1369.T,"46,19010/03","45,9402025/09/19","46,200"
9,1376,カネコ種苗(株),,https://finance.yahoo.co.jp/quote/1376.T,"1,54510/03","1,5442025/09/25","1,584"
10,1397,SMDAM 日経225上場投信,,https://finance.yahoo.co.jp/quote/1397.T,"46,55010/03","46,3202025/09/19","46,550"
11,1458,楽天 ETF-日経レバレッジ指数連動型,,https://finance.yahoo.co.jp/quote/1458.T,"43,01010/03","42,6902025/09/19","43,030"
12,1545,(NEXT FUNDS)NASDAQ-100(H無)連動型上場投信,,https://finance.yahoo.co.jp/quote/1545.T,"37,22010/03","37,0202025/09/29","37,260"
13,1547,上場インデックスファンド米国株式(S&P500),,https://finance.yahoo.co.jp/quote/1547.T,"10,84010/03","10,8402025/09/29","10,850"
14,1550,MAXIS 海外株式(MSCIコクサイ)上場投信,,https://finance.yahoo.co.jp/quote/1550.T,"6,66610/03","6,6652025/09/29","6,682"
15,1554,上場インデックス世界株式(MSCI ACWI)除く日本,,https://finance.yahoo.co.jp/quote/1554.T,"5,52810/03","5,5122025/10/02","5,538"
16,1557,SPDR S&P500  ETF,,https://finance.yahoo.co.jp/quote/1557.T,"99,01010/03","99,0302025/09/29","99,190"
17,1570,(NEXT FUNDS)日経平均レバレッジ上場投信,,https://finance.yahoo.co.jp/quote/1570.T,"36,26010/03","36,0002025/09/19","36,270"
18,1578,上場インデックスファンド日経225(ミニ),,https://finance.yahoo.co.jp/quote/1578.T,"3,67010/03","3,6562025/09/19","3,673"
19,1579,日経平均ブル2倍上場投信,,https://finance.yahoo.co.jp/quote/1579.T,390.510/03,3882025/09/19,390.6
20,1620,(NEXT FUNDS)素材･化学上場投信,,https://finance.yahoo.co.jp/quote/1620.T,"30,55010/03","30,5302025/09/26","30,550"
21,1625,(NEXT FUNDS)電機･精密上場投信,,https://finance.yahoo.co.jp/quote/1625.T,"44,00010/03","43,6002025/09/25","44,050"
22,UNK22,半導体フォーカス日本株(ネットリターン)ETN,,https://finance.yahoo.co.jp/quote/163A.T,"10,81510/03","10,7002025/09/25","10,905"
23,1655,iシェアーズ S&P500 米国株 ETF,,https://finance.yahoo.co.jp/quote/1655.T,716.710/03,7162025/09/29,716.9
24,1657,iシェアーズ･コア MSCI 先進国株(除く日本)ETF,,https://finance.yahoo.co.jp/quote/1657.T,"5,95510/03","5,9492025/09/29","5,970"
25,1680,上場インデックスファンド海外先進国株式,,https://finance.yahoo.co.jp/quote/1680.T,"6,86010/03","6,8452025/09/29","6,873"
26,1681,上場インデックスファンド海外新興国株式,,https://finance.yahoo.co.jp/quote/1681.T,"2,55010/03","2,5492025/10/02","2,558"
27,1712,(株)ダイセキ環境ソリューション,,https://finance.yahoo.co.jp/quote/1712.T,"1,49910/03","1,3832025/01/07","1,499"
28,UNK28,(株)ＷＯＬＶＥＳ　ＨＡＮＤ,,https://finance.yahoo.co.jp/quote/194A.T,"1,14310/03","1,1162025/09/29","1,144"
29,1999,サイタホールディングス(株),,https://finance.yahoo.co.jp/quote/1999.F,"4,25010/03","3,9602025/09/08","4,250"
30,UNK30,(NEXT FUNDS) 日経半導体株指数連動型上場投信,,https://finance.yahoo.co.jp/quote/200A.T,"2,06910/03","2,0502025/09/25","2,088"
31,2088,NZAM 上場投信 NYダウ30(H有),,https://finance.yahoo.co.jp/quote/2088.T,"2,42310/03","2,4142025/09/24","2,423"
32,UNK32,上場インデックスファンド日経半導体株,,https://finance.yahoo.co.jp/quote/213A.T,19110/03,1892025/09/25,191.9
33,UNK33,MAXIS 日経半導体株上場投信,,https://finance.yahoo.co.jp/quote/221A.T,54110/03,5412025/09/29,544.7
34,2237,iFreeETF S&P500レバレッジ,,https://finance.yahoo.co.jp/quote/2237.T,"103,35010/03","102,4002025/10/02","103,350"
35,2239,上場インデックスファンドS&P500先物レバレッジ2倍,,https://finance.yahoo.co.jp/quote/2239.T,"22,15510/03","22,2152025/10/02","22,310"
36,UNK36,GX AI&ビッグデータ,,https://finance.yahoo.co.jp/quote/223A.T,"1,33710/03","1,3252025/10/02","1,337"
37,2243,GX 半導体,,https://finance.yahoo.co.jp/quote/2243.T,"2,33810/03","2,2862025/10/02","2,341"
38,2022,GX US テック・トップ20,,https://finance.yahoo.co.jp/quote/2244.T,"2,89010/03","2,8892025/09/25","2,895"
39,2247,iFreeETF S&P500(H無),,https://finance.yahoo.co.jp/quote/2247.T,"1,85610/03","1,8662025/09/29","1,868"
40,2332,(株)クエスト,,https://finance.yahoo.co.jp/quote/2332.T,"1,57110/03","1,5542025/09/16","1,676"
41,2338,クオンタムソリューションズ(株),,https://finance.yahoo.co.jp/quote/2338.T,73910/03,7372025/03/04,740
42,2513,(NEXT FUNDS)外国株式･MSCI-KOKUSAI(H無),,https://finance.yahoo.co.jp/quote/2513.T,"2,937.510/03","2,9292025/09/29","2,938.5"
43,2514,(NEXT FUNDS)外国株式･MSCI-KOKUSAI(H有),,https://finance.yahoo.co.jp/quote/2514.T,"1,83610/03","1,8312025/10/02","1,836"
44,2521,上場インデックスファンド米国株式(S&P500)H有,,https://finance.yahoo.co.jp/quote/2521.T,"1,96610/03","1,9632025/10/02","1,967"
45,2522,iシェアーズ オートメーション&ロボット ETF,,https://finance.yahoo.co.jp/quote/2522.T,"6,29610/03","6,2002025/09/19","6,318"
