rank,stock_code,stock_name,market,yahoo_url,current_info,ytd_low_info,additional_info,company_name,sector,industry,current_price,ytd_low,ytd_low_date,ytd_high,ytd_high_date,year_start_price,ytd_return_pct,low_decline_pct,recovery_from_low_pct,max_drawdown_pct,sma_20,sma_50,volatility_pct,market_cap,pe_ratio,pb_ratio,volume,avg_volume,dividend_yield,recovery_score
1,1356,TOPIXベア2倍上場投信,,https://finance.yahoo.co.jp/quote/1356.T,209.809/19,2052025/09/16,204.5,TOPIX Bear -2x ETF,N/A,N/A,209.8,204.5,2025-09-19,443.7,2025-04-07,363.3,-42.25,-43.71,2.59,-53.91,215.03,230.85,41.56,N/A,N/A,N/A,4255050,2106948,0.0,55
2,1357,(NEXT FUNDS) 日経ダブルインバース上場投信,,https://finance.yahoo.co.jp/quote/1357.T,"7,74609/19","7,5912025/09/18","7,469",NEXT FUNDS Nikkei 225 Double Inverse Index ETF,N/A,N/A,7746.0,113.0,2024-12-12,1179500.0,2024-12-16,139.0,5472.66,-18.71,6754.87,-99.99,8380.8,9006.1,1020937.53,N/A,N/A,N/A,5085715,2531697,0.0,65
3,1360,日経平均ベア2倍上場投信,,https://finance.yahoo.co.jp/quote/1360.T,190.209/19,1862025/09/18,183.3,Nikkei225 Bear -2x ETF,N/A,N/A,190.2,183.3,2025-09-19,443.5,2025-04-07,340.8,-44.19,-46.21,3.76,-58.67,205.75,221.17,45.65,N/A,N/A,N/A,170997680,56354407,0.0,55
4,1366,iFreeETF 日経平均ダブルインバース・インデックス,,https://finance.yahoo.co.jp/quote/1366.T,19509/19,1902025/09/18,187,Daiwa ETF Japan Nikkei225 Double Inverse Index,N/A,N/A,195.0,187.0,2025-09-19,454.0,2025-04-07,350.0,-44.29,-46.57,4.28,-58.81,210.9,226.52,46.57,N/A,N/A,N/A,5535505,3025316,0.0,55
5,1368,iFreeETF TOPIXダブルインバース(-2倍)指数,,https://finance.yahoo.co.jp/quote/1368.T,30409/19,2982025/09/16,296,Daiwa ETF Japan TOPIX Double Inverse (-2x) Index,N/A,N/A,304.0,296.0,2025-09-19,635.0,2025-04-07,525.0,-42.1,-43.62,2.7,-53.39,312.15,335.52,41.04,N/A,N/A,N/A,812926,156569,0.0,55
6,1456,iFreeETF 日経平均インバース・インデックス,,https://finance.yahoo.co.jp/quote/1456.T,"2,02909/19","2,0072025/09/18","1,991",Daiwa ETF Japan Nikkei225 Inverse Index,N/A,N/A,2029.0,1991.0,2025-09-19,3060.0,2025-04-07,2649.0,-23.41,-24.84,1.91,-34.93,2108.15,2181.98,22.82,N/A,N/A,N/A,124779,100967,0.0,55
7,1457,iFreeETF TOPIXインバース(-1倍)指数,,https://finance.yahoo.co.jp/quote/1457.T,"2,42809/19","2,4072025/09/12","2,402",Daiwa ETF Japan TOPIX Inverse (-1x) Index,N/A,N/A,2428.0,2402.0,2025-09-19,3520.0,2025-04-07,3130.0,-22.43,-23.26,1.08,-31.76,2462.55,2548.86,20.35,N/A,N/A,N/A,165190,42469,0.0,55
8,1459,楽天 ETF-日経ダブルインバース指数連動型,,https://finance.yahoo.co.jp/quote/1459.T,31209/19,3052025/09/18,301,Rakuten ETF-Nikkei 225 Double Inverse Index,N/A,N/A,312.0,301.0,2025-09-19,715.0,2025-04-07,561.0,-44.39,-46.35,3.65,-57.9,337.65,362.74,45.25,N/A,N/A,N/A,21110165,13893642,0.0,55
9,1466,iFreeETF JPX日経400ダブルインバース・インデックス,,https://finance.yahoo.co.jp/quote/1466.T,39709/19,3882025/09/16,386,Daiwa ETF Japan JPX-Nikkei 400 Double Inverse (-2x) Index,N/A,N/A,397.0,386.0,2025-09-19,783.0,2025-04-07,652.0,-39.11,-40.8,2.85,-50.7,407.15,435.76,38.19,N/A,N/A,N/A,3662,8154,0.0,55
10,1469,JPX日経400ベア2倍上場投信ダブルインバース,,https://finance.yahoo.co.jp/quote/1469.T,382.909/19,3752025/09/16,373,JPX-Nikkei 400 Bear -2x Double Inverse ETF,N/A,N/A,382.9,373.0,2025-09-19,751.6,2025-04-07,656.0,-41.63,-43.14,2.65,-50.37,393.68,420.17,37.84,N/A,N/A,N/A,13620,9640,0.0,55
11,1472,(NEXT FUNDS)JPX日経400ダブルインバース,,https://finance.yahoo.co.jp/quote/1472.T,15709/19,1532025/09/16,152,NEXT FUNDS JPX-Nikkei 400 Double Inverse Index Exchange Traded Fund,N/A,N/A,157.0,152.0,2025-09-19,351.0,2025-04-07,266.0,-40.98,-42.86,3.29,-56.7,160.55,171.74,37.35,N/A,N/A,N/A,29245,17297,0.0,55
