rank,stock_code,stock_name,market,yahoo_url,current_info,ytd_low_info,additional_info
1,1356,TOPIXベア2倍上場投信,,https://finance.yahoo.co.jp/quote/1356.T,209.809/19,2052025/09/16,204.5
2,1357,(NEXT FUNDS) 日経ダブルインバース上場投信,,https://finance.yahoo.co.jp/quote/1357.T,"7,74609/19","7,5912025/09/18","7,469"
3,1360,日経平均ベア2倍上場投信,,https://finance.yahoo.co.jp/quote/1360.T,190.209/19,1862025/09/18,183.3
4,1366,iFreeETF 日経平均ダブルインバース・インデックス,,https://finance.yahoo.co.jp/quote/1366.T,19509/19,1902025/09/18,187
5,1368,iFreeETF TOPIXダブルインバース(-2倍)指数,,https://finance.yahoo.co.jp/quote/1368.T,30409/19,2982025/09/16,296
6,1456,iFreeETF 日経平均インバース・インデックス,,https://finance.yahoo.co.jp/quote/1456.T,"2,02909/19","2,0072025/09/18","1,991"
7,1457,iFreeETF TOPIXインバース(-1倍)指数,,https://finance.yahoo.co.jp/quote/1457.T,"2,42809/19","2,4072025/09/12","2,402"
8,1459,楽天 ETF-日経ダブルインバース指数連動型,,https://finance.yahoo.co.jp/quote/1459.T,31209/19,3052025/09/18,301
9,1466,iFreeETF JPX日経400ダブルインバース・インデックス,,https://finance.yahoo.co.jp/quote/1466.T,39709/19,3882025/09/16,386
10,1469,JPX日経400ベア2倍上場投信ダブルインバース,,https://finance.yahoo.co.jp/quote/1469.T,382.909/19,3752025/09/16,373
11,1472,(NEXT FUNDS)JPX日経400ダブルインバース,,https://finance.yahoo.co.jp/quote/1472.T,15709/19,1532025/09/16,152
12,1569,TOPIXベア上場投信,,https://finance.yahoo.co.jp/quote/1569.T,"1,019.509/19","1,0082025/09/16","1,006"
13,1571,(NEXT FUNDS)日経平均インバース上場投信,,https://finance.yahoo.co.jp/quote/1571.T,47609/19,4712025/09/18,467
14,1580,日経平均ベア上場投信,,https://finance.yahoo.co.jp/quote/1580.T,"1,265.509/19","1,2522025/09/18","1,242"
15,2034,NEXT NOTES 韓国KOSPI･ベアETN,,https://finance.yahoo.co.jp/quote/2034.T,"5,47109/19","5,4052025/09/18","5,401"
16,2041,NEXT NOTES NYダウ･ベア･ドルヘッジ ETN,,https://finance.yahoo.co.jp/quote/2041.T,"2,20609/19","2,2022025/09/18","2,198"
17,2092,NZAM 上場投信 フランス国債7-10年(H有),,https://finance.yahoo.co.jp/quote/2092.T,"4,77009/19","4,8402025/04/08","4,770"
18,2249,iFreeETF S&P500ダブルインバース,,https://finance.yahoo.co.jp/quote/2249.T,"12,49509/19","12,4652025/09/18","12,410"
19,236A,iシェアーズ 日本国債7-10年,,https://finance.yahoo.co.jp/quote/236A.T,474.609/19,4752025/08/27,474.6
20,2484,(株)出前館,,https://finance.yahoo.co.jp/quote/2484.T,16009/19,1612025/09/12,160
21,2510,(NEXT FUNDS)国内債券・NOMURA-BPI総合,,https://finance.yahoo.co.jp/quote/2510.T,857.609/19,8572025/09/04,855.5
22,2842,iFreeETF NASDAQ100インバース,,https://finance.yahoo.co.jp/quote/2842.T,"14,67509/19","14,7102025/09/18","14,650"
23,2870,iFreeETF NASDAQ100ダブルインバース,,https://finance.yahoo.co.jp/quote/2870.T,"11,52009/19","11,5552025/09/18","11,460"
24,5138,(株)Ｒｅｂａｓｅ,,https://finance.yahoo.co.jp/quote/5138.T,"1,18009/19","1,1812025/04/07","1,178"
25,6577,(株)ベストワンドットコム,,https://finance.yahoo.co.jp/quote/6577.T,"2,16309/19","2,2302025/09/18","2,150"
